# Fiwo Derived Dictionary — 1727 entries
# GENERATED from Canon/derived_lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | root + derivation | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Biological Noun — 299 entries ===
abecoa | abeco o→a | Pilot | A person who flies a plane; a pilot. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pilot
hylsae | hylsa a→e | Lip-like | Made of, resembling, or relating to lip. [Biological Noun -> Modifier (like)] Senses: 1) lip-like; 2) resembling lip
hyque | hyqu u→e | Wise | Possessing wisdom. [Abstract Noun -> Modifier (having the quality of)] Senses: 1) wise; 2) sage; 3) prudent
ibalirae | ibalira a→e | Teacher-like | Made of, resembling, or relating to teacher. [Biological Noun -> Modifier (like)] Senses: 1) teacher-like; 2) resembling teacher
ibalue | ibalu u→e | Educational | Characterized by or relating to education; educational. [Abstract Noun -> Modifier (characterized by)] Senses: 1) educational
ibazoe | ibazo o→e | School-like | Made of, resembling, or relating to school. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) school-like; 2) resembling school
ibitue | ibitu u→e | Class-based | Characterized by or relating to class; class-based. [Abstract Noun -> Modifier (characterized by)] Senses: 1) class-based
icejenue | icejenu u→e | Periodic | Recurring at intervals; of a period. [Abstract Noun -> Modifier (characterized by)] Senses: 1) periodic; 2) recurring
icifoe | icifo o→e | Plate-like | Made of, resembling, or relating to plate. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) plate-like; 2) resembling plate
idvue | idvu u→e | Mysterious | Characterized by or relating to mystery; mysterious. [Abstract Noun -> Modifier (characterized by)] Senses: 1) mysterious
iegae | iega a→e | Lion-like, leonine | Made of, resembling, or relating to lion; lion-like, leonine. [Biological Noun -> Modifier (like)] Senses: 1) lion-like; 2) leonine
ifgoe | ifgo o→e | Toothbrush-like | Made of, resembling, or relating to toothbrush. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) toothbrush-like; 2) resembling toothbrush
iflocoe | ifloco o→e | Saddle-like | Made of, resembling, or relating to saddle. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) saddle-like; 2) resembling saddle
igroe | igro o→e | Card-like | Made of, resembling, or relating to card. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) card-like; 2) resembling card
ijyrae | ijyra a→e | Tail-like | Made of, resembling, or relating to tail. [Biological Noun -> Modifier (like)] Senses: 1) tail-like; 2) resembling tail
ikamoe | ikamo o→e | Shirt-like | Made of, resembling, or relating to shirt. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) shirt-like; 2) resembling shirt
ikue | iku u→e | Legal | Characterized by or relating to law; legal. [Abstract Noun -> Modifier (characterized by)] Senses: 1) legal
iladae | ilada a→e | Reptile-like | Made of, resembling, or relating to reptile. [Biological Noun -> Modifier (like)] Senses: 1) reptile-like; 2) resembling reptile
imdoe | imdo o→e | Flood-like | Made of, resembling, or relating to flood. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) flood-like; 2) resembling flood
imsue | imsu u→e | Standard | Characterized by or relating to standard; standard. [Abstract Noun -> Modifier (characterized by)] Senses: 1) standard
ipkae | ipka a→e | Spider-like | Made of, resembling, or relating to spider. [Biological Noun -> Modifier (like)] Senses: 1) spider-like; 2) resembling spider
iqie | iqi i→e | Skeptical | Inclined to doubt; skeptical, doubtful. [Verb -> Modifier (prone to)] Senses: 1) skeptical; 2) doubtful
iqocue | iqocu u→e | Effective | Characterized by or relating to effect; effective. [Abstract Noun -> Modifier (characterized by)] Senses: 1) effective
irakie | iraki i→e | Weeping | Tending toward, or involving, the action 'cry'. [Verb -> Modifier (prone to)] Senses: 1) weeping; 2) crying; 3) dripping
iraksae | iraksa a→e | Tear-like | Made of, resembling, or relating to tear. [Biological Noun -> Modifier (like)] Senses: 1) tear-like; 2) resembling tear
irtae | irta a→e | Egg-like | Made of, resembling, or relating to egg. [Biological Noun -> Modifier (like)] Senses: 1) egg-like; 2) resembling egg
isamue | isamu u→e | Resultant | Characterized by or relating to result; resultant. [Abstract Noun -> Modifier (characterized by)] Senses: 1) resultant
iubue | iubu u→e | Unsuccessful | Characterized by or relating to failure; unsuccessful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) unsuccessful
ivanue | ivanu u→e | Northern | Characterized by or relating to north; northern. [Abstract Noun -> Modifier (characterized by)] Senses: 1) northern
ivortue | ivortu u→e | Southern | Characterized by or relating to south; southern. [Abstract Noun -> Modifier (characterized by)] Senses: 1) southern
ivxoe | ivxo o→e | Hammer-like | Made of, resembling, or relating to hammer. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) hammer-like; 2) resembling hammer
ixboe | ixbo o→e | Made of brick | Made of, resembling, or relating to brick. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) made of brick; 2) brick-patterned; 3) bricked
ixpae | ixpa a→e | Fungal | Of, like, or befitting a fungus. [Biological Noun -> Modifier (like)] Senses: 1) fungal; 2) mushroom-shaped; 3) of fungus
izevufue | izevufu u→e | Democratic | Of or relating to democracy. [Abstract Noun -> Modifier (characterized by)] Senses: 1) democratic
jacifie | jacifi i→e | Similar / Alike | Resembling something; alike. [Verb -> Modifier (prone to)] Senses: 1) similar; 2) alike
jadoroe | jadoro o→e | Snowy | Made of, resembling, or relating to snow. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) snowy; 2) of snow; 3) snow-filled
jahizie | jahizi i→e | married | Married; joined in or relating to a marital partnership. [Verb -> Modifier (prone to)] Senses: 1) married
janye | jany y→e | Opposing | Set against; opposing, anti-. [Preposition -> Modifier (positioned)] Senses: 1) opposing; 2) anti-; 3) counter-
jarue | jaru u→e | Annual | Characterized by or relating to year; annual. [Abstract Noun -> Modifier (characterized by)] Senses: 1) annual
jatanoe | jatano o→e | Pen-like | Made of, resembling, or relating to pen. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) pen-like; 2) resembling pen
javuque | javuqu u→e | Infectious | Characterized by or relating to infection; infectious. [Abstract Noun -> Modifier (characterized by)] Senses: 1) infectious
jawoe | jawo o→e | Icy | Made of, resembling, or relating to ice; icy. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) icy
jeflue | jeflu u→e | Developmental | Characterized by or relating to development; developmental. [Abstract Noun -> Modifier (characterized by)] Senses: 1) developmental
jegetrue | jegetru u→e | Cancerous | Affected by or of the nature of cancer. [Abstract Noun -> Modifier (characterized by)] Senses: 1) cancerous
jejue | jeju u→e | Glorious | Characterized by or relating to glory; glorious. [Abstract Noun -> Modifier (characterized by)] Senses: 1) glorious
jepae | jepa a→e | Offspring-like | Made of, resembling, or relating to offspring. [Biological Noun -> Modifier (like)] Senses: 1) offspring-like; 2) resembling offspring
jiqae | jiqa a→e | Sibling's child-like | Made of, resembling, or relating to sibling's child. [Biological Noun -> Modifier (like)] Senses: 1) sibling's child-like; 2) resembling sibling's child
jobue | jobu u→e | Occupational | Characterized by or relating to job; occupational. [Abstract Noun -> Modifier (characterized by)] Senses: 1) occupational
jofie | jofi i→e | Helpful | Inclined to help; helpful, obliging. [Verb -> Modifier (prone to)] Senses: 1) helpful; 2) obliging
jokuwue | jokuwu u→e | Electoral | Characterized by or relating to vote; electoral. [Abstract Noun -> Modifier (characterized by)] Senses: 1) electoral
jolkodue | jolkodu u→e | Average (adj) | Being the mathematical mean; typical. [Abstract Noun -> Modifier (characterized by)] Senses: 1) average; 2) mean
jormue | jormu u→e | Situational | Characterized by or relating to case; situational. [Abstract Noun -> Modifier (characterized by)] Senses: 1) situational
jufysoe | jufyso o→e | Pickaxe-like | Made of, resembling, or relating to pickaxe. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) pickaxe-like; 2) resembling pickaxe
jukue | juku u→e | Structural | Characterized by or relating to shape; structural. [Abstract Noun -> Modifier (characterized by)] Senses: 1) structural
jumae | juma a→e | Rival-like | Made of, resembling, or relating to rival. [Biological Noun -> Modifier (like)] Senses: 1) rival-like; 2) resembling rival
junue | junu u→e | Planned | Characterized by or relating to plan; planned. [Abstract Noun -> Modifier (characterized by)] Senses: 1) planned
juroe | juro o→e | City-like | Made of, resembling, or relating to city. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) city-like; 2) resembling city
jye | jy y→e | Partial | Being part of a whole; partial, component. [Preposition -> Modifier (positioned)] Senses: 1) partial; 2) component
jyhue | jyhu u→e | Fateful | Characterized by or relating to destiny; fateful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) fateful
jyjoe | jyjo o→e | Computer-like | Made of, resembling, or relating to computer. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) computer-like; 2) resembling computer
jymboe | jymbo o→e | Island-like | Made of, resembling, or relating to island. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) island-like; 2) resembling island
jyndoe | jyndo o→e | Fence-like | Made of, resembling, or relating to fence. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) fence-like; 2) fenced; 3) of a fence
kabae | kaba a→e | Horse-like, equine | Made of, resembling, or relating to horse; horse-like, equine. [Biological Noun -> Modifier (like)] Senses: 1) horse-like; 2) equine
kagaxae | kagaxa a→e | Axolotl-like | Made of, resembling, or relating to axolotl. [Biological Noun -> Modifier (like)] Senses: 1) axolotl-like; 2) resembling axolotl
kaloe | kalo o→e | Cup-like | Made of, resembling, or relating to cup. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) cup-like; 2) resembling cup
kazaroe | kazaro o→e | Trousers-like | Made of, resembling, or relating to trousers. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) trousers-like; 2) resembling trousers
keamue | keamu u→e | Topical | Characterized by or relating to topic; topical. [Abstract Noun -> Modifier (characterized by)] Senses: 1) topical
keglae | kegla a→e | Grassy | Of, like, or befitting a grass. [Biological Noun -> Modifier (like)] Senses: 1) grassy; 2) grass-covered; 3) of grass
kehulue | kehulu u→e | familial / family (adj) | Familial; relating to, belonging to, or characteristic of a family. [Abstract Noun -> Modifier (characterized by)] Senses: 1) familial; 2) family (adj)
kejaklue | kejaklu u→e | Lonely | Characterized by or relating to loneliness; lonely. [Abstract Noun -> Modifier (characterized by)] Senses: 1) lonely
kewue | kewu u→e | Fortunate | Characterized by or relating to luck; fortunate. [Abstract Noun -> Modifier (characterized by)] Senses: 1) fortunate
kezoe | kezo o→e | Oily | Made of, resembling, or relating to oil; oily. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) oily
kicojoe | kicojo o→e | Jeweled | Made of, resembling, or relating to gem. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) jeweled; 2) gem-cut; 3) precious
kicursue | kicursu u→e | Dawn | Characterized by or relating to dawn; dawn. [Abstract Noun -> Modifier (characterized by)] Senses: 1) dawn
kifrae | kifra a→e | Cherry | Of, like, or befitting a cherry tree. [Biological Noun -> Modifier (like)] Senses: 1) cherry; 2) cherry-wood; 3) of cherry
kikae | kika a→e | Chicken-like | Made of, resembling, or relating to chicken. [Biological Noun -> Modifier (like)] Senses: 1) chicken-like; 2) resembling chicken
kimue | kimu u→e | Fatal | Characterized by or relating to death; fatal. [Abstract Noun -> Modifier (characterized by)] Senses: 1) fatal
kimugie | kimugi i→e | Dead | Having undergone dying; no longer alive. [Verb -> Modifier (resultant state)] Senses: 1) dead; 2) deceased; 3) lifeless
kinoe | kino o→e | Knife-like | Made of, resembling, or relating to knife. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) knife-like; 2) resembling knife
klazoe | klazo o→e | Cloud-like | Made of, resembling, or relating to cloud. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) cloud-like; 2) resembling cloud
kokloe | koklo o→e | Tiled | Made of, resembling, or relating to tile. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) tiled; 2) made of tiles; 3) tile-covered
kompue | kompu u→e | Competitive | Characterized by or relating to match; competitive. [Abstract Noun -> Modifier (characterized by)] Senses: 1) competitive
kowygoe | kowygo o→e | Clayey | Made of, resembling, or relating to clay; clayey. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) clayey
krapoe | krapo o→e | Wall-mounted | Made of, resembling, or relating to wall. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) wall-mounted; 2) on-wall; 3) wall-like
krekikie | krekiki i→e | Cracked | Tending toward, or involving, the action 'crack'. [Verb -> Modifier (prone to)] Senses: 1) cracked; 2) fractured; 3) fissured
krembae | kremba a→e | pet-like | Pet-like; tame, domesticated, or kept for companionship. [Biological Noun -> Modifier (like)] Senses: 1) pet-like
kruloe | krulo o→e | Room-like | Made of, resembling, or relating to room. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) room-like; 2) resembling room
kryskae | kryska a→e | Waist-like | Made of, resembling, or relating to waist. [Biological Noun -> Modifier (like)] Senses: 1) waist-like; 2) resembling waist
kukylue | kukylu u→e | Profitable | Yielding profit; financially rewarding. [Abstract Noun -> Modifier (characterized by)] Senses: 1) profitable; 2) lucrative
kunawae | kunawa a→e | Orchid-like | Made of, resembling, or relating to orchid. [Biological Noun -> Modifier (like)] Senses: 1) orchid-like; 2) resembling orchid
kuqsoe | kuqso o→e | Bridge-like | Made of, resembling, or relating to bridge. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) bridge-like; 2) resembling bridge
kurie | kuri i→e | Timid | Inclined to fear; timid, fearful. [Verb -> Modifier (prone to)] Senses: 1) timid; 2) fearful
kusulsoe | kusulso o→e | Cake-like | Made of, resembling, or relating to cake. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) cake-like; 2) resembling cake
kyfae | kyfa a→e | Bird-like, avian | Made of, resembling, or relating to bird; bird-like, avian. [Biological Noun -> Modifier (like)] Senses: 1) bird-like; 2) avian
kynue | kynu u→e | Summery | Characterized by or relating to summer; summery. [Abstract Noun -> Modifier (characterized by)] Senses: 1) summery
kyranae | kyrana a→e | Feather-like | Made of, resembling, or relating to feather. [Biological Noun -> Modifier (like)] Senses: 1) feather-like; 2) resembling feather
ladue | ladu u→e | Conceptual | Characterized by or relating to idea; conceptual. [Abstract Noun -> Modifier (characterized by)] Senses: 1) conceptual
lakiroe | lakiro o→e | Picture-like | Made of, resembling, or relating to picture. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) picture-like; 2) resembling picture
lamsoe | lamso o→e | Milky | Made of, resembling, or relating to milk; milky. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) milky
leblae | lebla a→e | Goat-like | Made of, resembling, or relating to goat. [Biological Noun -> Modifier (like)] Senses: 1) goat-like; 2) resembling goat
lehae | leha a→e | Fern-like | Made of, resembling, or relating to fern. [Biological Noun -> Modifier (like)] Senses: 1) fern-like; 2) resembling fern
lejoe | lejo o→e | Stairs-like | Made of, resembling, or relating to stairs. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) stairs-like; 2) resembling stairs
lenawae | lenawa a→e | Cactus-like | Made of, resembling, or relating to cactus. [Biological Noun -> Modifier (like)] Senses: 1) cactus-like; 2) resembling cactus
leocie | leoci i→e | Activating | Tending toward, or involving, the action 'turn on'. [Verb -> Modifier (prone to)] Senses: 1) activating; 2) triggering; 3) power-on
levidzoe | levidzo o→e | Cave-dwelling | Made of, resembling, or relating to cave. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) cave-dwelling; 2) underground; 3) cavern-like
lexoglae | lexogla a→e | Mule-like | Made of, resembling, or relating to mule. [Biological Noun -> Modifier (like)] Senses: 1) mule-like; 2) resembling mule
libosoe | liboso o→e | Slime-like | Made of, resembling, or relating to slime. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) slimy; 2) made of slime; 3) sticky-viscous
libywue | libywu u→e | Charitable | Generous in giving to those in need. [Abstract Noun -> Modifier (characterized by)] Senses: 1) charitable; 2) generous
licae | lica a→e | Colleague-like | Made of, resembling, or relating to colleague. [Biological Noun -> Modifier (like)] Senses: 1) colleague-like; 2) resembling colleague
lirue | liru u→e | Directional | Characterized by or relating to direction; directional. [Abstract Noun -> Modifier (characterized by)] Senses: 1) directional
lisibue | lisibu u→e | Professional | Characterized by or relating to career; professional. [Abstract Noun -> Modifier (characterized by)] Senses: 1) professional
litoe | lito o→e | Bright / Luminous | Giving off or resembling light. [Concrete Noun -> Modifier (having the quality of)] Senses: 1) bright; 2) luminous; 3) radiant
lodroe | lodro o→e | Banner-like | Made of, resembling, or relating to banner. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) banner-like; 2) resembling banner
logegae | logega a→e | Throat-like | Made of, resembling, or relating to throat. [Biological Noun -> Modifier (like)] Senses: 1) throat-like; 2) resembling throat
lohoe | loho o→e | Armor-like | Made of, resembling, or relating to armor. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) armor-like; 2) resembling armor
lokie | loki i→e | For reading | Tending toward, or involving, the action 'read'. [Verb -> Modifier (prone to)] Senses: 1) for reading; 2) book-study; 3) lectern-style
lozuxue | lozuxu u→e | Melodic | Characterized by or relating to song; melodic. [Abstract Noun -> Modifier (characterized by)] Senses: 1) melodic
luplelue | luplelu u→e | Resonant | Characterized by or relating to echo; resonant. [Abstract Noun -> Modifier (characterized by)] Senses: 1) resonant
lusoe | luso o→e | Key-like | Made of, resembling, or relating to key. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) key-like; 2) resembling key
lutufroe | lutufro o→e | Border-like | Made of, resembling, or relating to border. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) border-like; 2) resembling border
luvismae | luvisma a→e | Wounded / Injured | Having an open wound; injured. [Biological Noun -> Modifier (like)] Senses: 1) wounded; 2) injured
luvwitue | luvwitu u→e | Academic | Characterized by or relating to university; academic. [Abstract Noun -> Modifier (characterized by)] Senses: 1) academic
lyfroe | lyfro o→e | Wire-like | Made of, resembling, or relating to wire. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) wire-like; 2) resembling wire
lyltae | lylta a→e | Lichen-like | Made of, resembling, or relating to lichen. [Biological Noun -> Modifier (like)] Senses: 1) lichen-like; 2) resembling lichen
lympie | lympi i→e | Prone to rust | Tending toward, or involving, the action 'rust'. [Verb -> Modifier (prone to)] Senses: 1) rusted; 2) oxidized; 3) corroded
magustue | magustu u→e | Magical | Characterized by or marked by magic. [Abstract Noun -> Modifier (characterized by)] Senses: 1) magical; 2) enchanted; 3) arcane
manae | mana a→e | Mother-like | Made of, resembling, or relating to mother. [Biological Noun -> Modifier (like)] Senses: 1) mother-like; 2) resembling mother
mantue | mantu u→e | Quantitative | Characterized by or relating to amount; quantitative. [Abstract Noun -> Modifier (characterized by)] Senses: 1) quantitative
maobae | maoba a→e | Heart-like | Made of, resembling, or relating to heart. [Biological Noun -> Modifier (like)] Senses: 1) heart-like; 2) resembling heart
maobue | maobu u→e | Heartfelt | Characterized by or relating to emotional core; heartfelt. [Abstract Noun -> Modifier (characterized by)] Senses: 1) heartfelt
mapae | mapa a→e | Finger-like | Made of, resembling, or relating to finger. [Biological Noun -> Modifier (like)] Senses: 1) finger-like; 2) resembling finger
mavahae | mavaha a→e | Wheat-like | Made of, resembling, or relating to wheat. [Biological Noun -> Modifier (like)] Senses: 1) wheat-like; 2) resembling wheat
mazutsae | mazutsa a→e | Monster-like | Made of, resembling, or relating to monster. [Biological Noun -> Modifier (like)] Senses: 1) monster-like; 2) resembling monster
mehefoe | mehefo o→e | Compass-like | Made of, resembling, or relating to compass. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) compass-like; 2) direction-finding; 3) magnetic
mekae | meka a→e | Made of bone | Of, like, or befitting a bone. [Biological Noun -> Modifier (like)] Senses: 1) made of bone; 2) bony; 3) bone-white
melfue | melfu u→e | Costly | Characterized by or relating to price; costly. [Abstract Noun -> Modifier (characterized by)] Senses: 1) costly
meokoe | meoko o→e | Hat-like | Made of, resembling, or relating to hat. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) hat-like; 2) resembling hat
meotae | meota a→e | Head-like | Made of, resembling, or relating to head. [Biological Noun -> Modifier (like)] Senses: 1) head-like; 2) resembling head
merifue | merifu u→e | Memorable | Characterized by or relating to memory; memorable. [Abstract Noun -> Modifier (characterized by)] Senses: 1) memorable
mezunae | mezuna a→e | Shell-like | Made of, resembling, or relating to shell. [Biological Noun -> Modifier (like)] Senses: 1) shell-like; 2) resembling shell
midorae | midora a→e | Melon | Of, like, or befitting a watermelon. [Biological Noun -> Modifier (like)] Senses: 1) melon; 2) of melon; 3) watermelon-like
mifae | mifa a→e | Of animals | Of, like, or befitting a animal. [Biological Noun -> Modifier (like)] Senses: 1) of animals; 2) animal-kind; 3) beastly
mihoe | miho o→e | Shelf-like | Made of, resembling, or relating to shelf. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) shelf-like; 2) resembling shelf
mijue | miju u→e | Natural | Characterized by or relating to nature; natural. [Abstract Noun -> Modifier (characterized by)] Senses: 1) natural
minzae | minza a→e | Nationality-like | Made of, resembling, or relating to nationality. [Biological Noun -> Modifier (like)] Senses: 1) nationality-like; 2) resembling nationality
mitae | mita a→e | Meat-like | Made of, resembling, or relating to meat. [Biological Noun -> Modifier (like)] Senses: 1) meat-like; 2) resembling meat
miteroe | mitero o→e | Meter-like | Made of, resembling, or relating to meter. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) meter-like; 2) resembling meter
mixuprue | mixupru u→e | Symptomatic | Showing the symptoms of a disease. [Abstract Noun -> Modifier (characterized by)] Senses: 1) symptomatic
mobloe | moblo o→e | Vehicle-like | Made of, resembling, or relating to vehicle. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) vehicle-like; 2) resembling vehicle
modae | moda a→e | God-like | Made of, resembling, or relating to god. [Biological Noun -> Modifier (like)] Senses: 1) god-like; 2) resembling god
montoe | monto o→e | Mountain-like | Made of, resembling, or relating to mountain. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) mountain-like; 2) resembling mountain
mortsae | mortsa a→e | Forest-like | Made of, resembling, or relating to forest. [Biological Noun -> Modifier (like)] Senses: 1) forest-like; 2) resembling forest
mosae | mosa a→e | Tree-like | Resembling or relating to a tree. [Biological Noun -> Modifier (like)] Senses: 1) tree-like; 2) arboreal
moskufue | moskufu u→e | Respectful | Characterized by or relating to respect; respectful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) respectful
motuwue | motuwu u→e | Mournful | Characterized by or relating to grief; mournful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) mournful
mudoe | mudo o→e | Muddy | Made of, resembling, or relating to mud. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) muddy; 2) made of mud; 3) mud-caked
mue | mu u→e | Of the soul | Characterized by or marked by soul. [Abstract Noun -> Modifier (characterized by)] Senses: 1) of the soul; 2) spiritual; 3) soul-infused
mulae | mula a→e | Floral | Of, like, or befitting a flower. [Biological Noun -> Modifier (like)] Senses: 1) floral; 2) of a flower; 3) flower-patterned
mydue | mydu u→e | Exemplary | Characterized by or relating to model; exemplary. [Abstract Noun -> Modifier (characterized by)] Senses: 1) exemplary
mygae | myga a→e | Leg-like | Made of, resembling, or relating to leg. [Biological Noun -> Modifier (like)] Senses: 1) leg-like; 2) resembling leg
mykosoe | mykoso o→e | Fever-like | Made of, resembling, or relating to fever. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) fever-like; 2) resembling fever
myrafae | myrafa a→e | Of a dragon | Of, like, or befitting a dragon. [Biological Noun -> Modifier (like)] Senses: 1) of a dragon; 2) draconic; 3) dragon-shaped
nacie | naci i→e | Work-related / Industrious | Relating to or inclined to work; occupational, industrious. [Verb -> Modifier (prone to)] Senses: 1) work-related; 2) occupational; 3) industrious
naglifie | naglifi i→e | Insistent | Given to insisting; persistent and demanding. [Verb -> Modifier (prone to)] Senses: 1) insistent; 2) persistent
nasae | nasa a→e | Plant-like | Made of, resembling, or relating to plant. [Biological Noun -> Modifier (like)] Senses: 1) plant-like; 2) resembling plant
nasboe | nasbo o→e | Medicine-like | Made of, resembling, or relating to medicine. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) medicine-like; 2) resembling medicine
nauxae | nauxa a→e | Friend-like | Made of, resembling, or relating to friend. [Biological Noun -> Modifier (like)] Senses: 1) friend-like; 2) resembling friend
naxue | naxu u→e | Collective | Characterized by or relating to group; collective. [Abstract Noun -> Modifier (characterized by)] Senses: 1) collective
nejowoe | nejowo o→e | Ink-like | Made of, resembling, or relating to ink. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) ink-like; 2) resembling ink
nembue | nembu u→e | Congratulatory | Characterized by or relating to congratulations; congratulatory. [Abstract Noun -> Modifier (characterized by)] Senses: 1) congratulatory
nertoe | nerto o→e | Carpet-like | Made of, resembling, or relating to carpet. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) carpet-like; 2) resembling carpet
neswye | neswy y→e | Lacking | Being without; lacking, devoid, -less. [Preposition -> Modifier (positioned)] Senses: 1) lacking; 2) devoid; 3) -less
netawae | netawa a→e | Cornflower-like | Made of, resembling, or relating to cornflower. [Biological Noun -> Modifier (like)] Senses: 1) cornflower-like; 2) resembling cornflower
neuque | neuqu u→e | Disgusted | Feeling disgust; repulsed. [Abstract Noun -> Modifier (characterized by)] Senses: 1) disgusted; 2) repulsed
niazae | niaza a→e | Muscle-like | Made of, resembling, or relating to muscle. [Biological Noun -> Modifier (like)] Senses: 1) muscle-like; 2) resembling muscle
nicue | nicu u→e | Indebted | Characterized by or relating to debt; indebted. [Abstract Noun -> Modifier (characterized by)] Senses: 1) indebted
nimpoe | nimpo o→e | Carrot-like | Made of, resembling, or relating to carrot. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) carrot-like; 2) resembling carrot
nizye | nizy y→e | Front | Positioned in front; front, fore. [Preposition -> Modifier (positioned)] Senses: 1) front; 2) fore; 3) leading
noajue | noaju u→e | Functional | Characterized by or relating to role; functional. [Abstract Noun -> Modifier (characterized by)] Senses: 1) functional
nofae | nofa a→e | Human, humane | Made of, resembling, or relating to person; human, humane. [Biological Noun -> Modifier (like)] Senses: 1) human; 2) humane
nojae | noja a→e | Eye-like | Made of, resembling, or relating to eye. [Biological Noun -> Modifier (like)] Senses: 1) eye-like; 2) resembling eye
nokye | noky y→e | Downward | Positioned or oriented according to the relation 'down'. [Preposition -> Modifier (positioned)] Senses: 1) downward; 2) lower; 3) down-facing
nomie | nomi i→e | Voracious | Inclined to eat a great deal; voracious. [Verb -> Modifier (prone to)] Senses: 1) voracious; 2) gluttonous
noqsae | noqsa a→e | Man-like | Made of, resembling, or relating to man. [Biological Noun -> Modifier (like)] Senses: 1) man-like; 2) resembling man
nosanae | nosana a→e | Woman-like | Made of, resembling, or relating to woman. [Biological Noun -> Modifier (like)] Senses: 1) woman-like; 2) resembling woman
novue | novu u→e | Conspiratorial | Characterized by or relating to conspiracy; conspiratorial. [Abstract Noun -> Modifier (characterized by)] Senses: 1) conspiratorial
nudue | nudu u→e | Current | Characterized by or relating to today; current. [Abstract Noun -> Modifier (characterized by)] Senses: 1) current
nujue | nuju u→e | Procedural | Characterized by or relating to policy; procedural. [Abstract Noun -> Modifier (characterized by)] Senses: 1) procedural
nupae | nupa a→e | Parent-like | Made of, resembling, or relating to parent. [Biological Noun -> Modifier (like)] Senses: 1) parent-like; 2) resembling parent
nusogoe | nusogo o→e | Sword-like | Made of, resembling, or relating to sword. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) sword-like; 2) resembling sword
